height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age,fee,window,league,season,position_group
178,72,Brazil,81,83,Right,2017,78,53,60,75,71,81,69,59,66,80,91,93,83,77,83,87,69,93,69,76,70,77,74,63,59,77,73,77,79,7,11,14,8,7,27,12500000,summer,Serie A,2017,defender
174,63,Mexico,76,84,Right,2023,70,70,56,71,71,80,68,56,68,75,92,93,89,73,76,76,75,80,61,73,42,53,73,70,58,74,25,27,25,11,10,14,14,10,21,12500000,summer,Eredivisie,2017,attacker
168,64,Spain,79,80,Right,2020,62,67,32,80,34,72,46,48,68,74,79,78,77,79,89,63,79,92,67,54,92,81,67,69,42,70,67,80,81,15,8,7,11,9,28,12500000,summer,Premier League,2017,midfielder
189,90,Denmark,82,83,Right,2019,54,32,81,75,37,42,52,64,73,67,60,69,48,76,58,70,62,78,83,41,80,85,31,49,46,65,84,84,78,6,10,13,10,15,28,12500000,summer,Laliga,2017,defender
186,78,Germany,82,83,Right,2021,52,43,77,74,54,58,33,40,69,68,64,67,62,79,62,73,76,87,77,62,86,87,49,65,42,82,81,86,87,13,7,8,14,15,28,12500000,summer,1 Bundesliga,2017,midfielder
188,86,Netherlands,78,79,Right,2021,66,77,92,75,79,65,63,65,61,74,51,55,58,80,55,82,81,75,82,69,49,25,82,68,60,75,42,40,37,16,10,8,8,11,28,12500000,summer,Laliga,2019,attacker
174,70,Romania,75,82,Right,2021,76,66,55,76,73,74,78,76,81,73,63,68,73,67,70,80,65,79,65,78,66,68,73,76,68,71,65,58,56,11,14,6,8,8,23,12500000,summer,Eredivisie,2019,midfielder
175,70,Austria,74,77,Right,2022,74,59,55,69,59,67,65,33,62,66,84,86,72,75,75,73,66,90,69,70,81,68,66,60,45,72,62,71,73,10,14,7,8,7,26,12500000,summer,1 Bundesliga,2019,defender
185,78,France,64,82,Left,2021,63,34,59,65,32,63,45,31,58,64,60,66,54,57,52,40,59,47,62,36,55,62,50,44,37,49,63,68,65,8,12,13,9,10,20,12500000,summer,Ligue 1,2019,defender
182,75,Uruguay,58,73,Left,2024,64,49,39,59,39,60,41,38,56,63,72,78,76,57,61,49,55,73,56,49,35,52,65,53,42,50,51,57,52,6,10,16,8,13,20,12500000,summer,Liga Portugal,2021,midfielder
187,88,Switzerland,77,80,Right,2024,63,72,71,76,77,77,68,58,70,74,83,84,67,76,67,84,73,79,85,71,78,44,82,72,66,71,40,63,38,13,6,7,7,12,25,12500000,summer,Ligue 1,2022,attacker
181,70,Brazil,73,85,Right,2022,63,72,70,68,63,78,40,34,42,76,83,79,78,72,70,74,60,79,76,63,68,16,76,69,71,70,21,22,19,12,7,8,11,13,20,12400000,summer,Premier League,2017,attacker
195,94,Colombia,78,85,Right,2023,43,51,86,73,41,60,38,30,52,53,45,62,53,72,34,70,70,79,87,50,80,73,48,54,53,80,79,79,75,10,8,12,9,12,23,12400000,winter,Laliga,2017,defender
193,86,Norway,69,79,Right,2024,45,71,71,61,63,67,52,43,46,66,59,63,54,67,51,70,71,72,83,63,64,26,71,63,58,70,29,27,23,7,14,14,8,9,22,12400000,summer,Laliga,2022,attacker
171,62,England,73,81,Right,2020,63,67,44,73,51,76,73,78,65,73,77,70,73,64,85,70,58,75,39,69,67,37,70,74,66,55,46,40,43,13,13,14,10,8,24,12350000,winter,Premier League,2017,midfielder
186,83,Chile,77,82,Right,2019,58,44,69,78,54,74,58,58,72,78,67,67,68,72,68,72,79,84,77,66,76,72,58,74,60,74,80,78,74,12,12,11,15,11,25,12300000,summer,Serie A,2019,midfielder
186,80,Argentina,69,74,Left,2016,61,26,71,63,24,63,48,48,54,62,69,75,66,68,61,68,69,75,76,58,66,69,43,38,51,63,67,70,69,8,8,12,9,6,24,12200000,summer,Premier League,2015,defender
180,71,Czech Republic,70,74,Right,2020,63,70,59,66,69,68,63,58,56,72,83,82,75,66,70,67,81,69,60,67,53,31,76,62,77,67,16,28,34,10,11,12,13,15,26,12200000,summer,Premier League,2018,attacker
193,76,Wales,68,77,Right,2022,34,23,59,66,34,51,25,32,45,58,51,57,47,68,57,43,71,62,74,24,60,72,23,31,40,50,34,67,68,10,13,7,11,8,22,12100000,summer,Premier League,2020,defender
180,76,Germany,78,81,Left,2017,75,76,60,79,78,81,76,69,69,81,73,76,76,78,76,81,70,84,72,78,68,39,77,80,81,65,37,44,40,12,7,5,13,9,27,12000000,summer,1 Bundesliga,2015,attacker
182,80,Ghana,73,78,Right,2018,69,72,76,75,73,76,73,70,59,75,77,78,81,76,70,75,62,64,73,74,74,32,64,70,73,66,22,21,24,5,7,6,15,7,23,12000000,summer,Premier League,2015,attacker
182,80,DR Congo,72,83,Right,2017,51,56,71,62,36,65,28,27,63,66,78,82,68,70,66,78,81,73,80,41,72,65,53,42,30,63,72,73,71,8,13,15,6,6,20,12000000,summer,Premier League,2015,defender
178,79,Colombia,73,81,Right,2018,59,72,51,69,69,85,69,59,54,85,88,88,84,68,77,77,62,62,66,70,49,25,75,65,77,66,25,23,21,7,9,9,13,5,24,12000000,summer,Serie A,2015,attacker
186,73,Montenegro,78,82,Right,2016,39,43,79,64,31,53,33,32,69,65,65,69,60,75,55,42,84,68,75,30,77,82,33,49,39,63,81,81,79,13,12,13,12,11,24,12000000,summer,Laliga,2015,defender
192,82,Serbia,69,81,Right,2020,36,37,68,69,41,57,33,60,67,68,63,61,58,63,59,68,71,78,84,57,67,70,43,63,38,69,64,70,72,7,10,7,16,7,20,12000000,summer,Serie A,2015,midfielder
170,66,Argentina,76,83,Right,2018,74,67,59,77,59,83,74,72,75,81,86,79,87,73,87,69,76,79,34,62,22,23,72,74,67,69,13,19,16,14,9,6,7,15,23,12000000,summer,Premier League,2016,midfielder
180,72,France,77,80,Right,2018,70,67,60,78,70,76,70,70,75,79,73,73,76,77,66,73,58,73,66,69,74,76,72,81,68,69,73,78,72,6,16,16,9,9,22,12000000,winter,Ligue 1,2016,midfielder
170,67,Portugal,76,84,Left,2017,77,73,61,76,71,78,65,58,70,79,84,82,83,71,84,75,60,75,56,72,69,72,71,68,37,62,74,76,76,12,6,8,11,8,22,12000000,summer,1 Bundesliga,2016,defender
184,75,Netherlands,75,88,Right,2020,74,57,63,79,63,77,68,41,76,81,77,76,75,77,68,74,81,74,75,62,75,64,68,73,46,68,62,73,66,6,11,12,14,10,20,12000000,winter,1 Bundesliga,2016,midfielder
182,77,Scotland,75,75,Left,2017,80,72,44,75,65,81,82,83,66,79,69,63,75,65,66,79,60,79,70,77,77,42,74,78,73,65,28,56,41,8,15,14,12,10,29,12000000,winter,Premier League,2016,attacker
179,73,Germany,79,82,Right,2018,69,55,66,78,55,72,51,57,73,77,77,75,71,78,76,75,81,87,70,65,85,82,70,73,51,69,77,83,82,9,8,14,7,11,25,12000000,summer,1 Bundesliga,2016,midfielder
191,76,Switzerland,68,82,Right,2020,52,28,58,73,28,64,35,41,68,71,64,75,64,64,62,55,64,77,80,36,79,74,54,68,39,57,66,69,61,12,12,7,13,11,20,12000000,summer,1 Bundesliga,2017,midfielder
177,67,Germany,79,88,Right,2018,66,58,42,82,49,82,58,48,77,83,78,65,84,78,77,72,70,89,58,75,68,65,65,80,55,63,63,65,61,14,7,9,12,11,21,12000000,summer,1 Bundesliga,2017,midfielder
184,80,Italy,77,84,Right,2021,72,63,68,77,70,76,71,65,77,77,69,69,75,75,67,82,69,83,78,79,71,75,73,72,51,72,64,75,72,11,7,5,12,14,22,12000000,summer,Serie A,2017,midfielder
183,74,Italy,76,81,Right,2017,76,33,64,72,33,69,75,39,68,75,79,83,79,64,75,65,75,87,67,51,72,72,64,60,49,74,72,78,78,5,3,5,5,3,24,12000000,summer,Serie A,2017,defender
187,83,Turkey,84,85,Right,2018,49,28,84,75,55,64,44,33,69,72,75,77,65,82,61,63,82,68,79,36,74,85,35,59,48,78,87,86,84,11,8,11,12,15,27,12000000,summer,1 Bundesliga,2017,defender
178,67,Spain,76,84,Right,2019,69,63,40,81,54,67,58,36,78,75,64,60,68,76,70,51,56,66,58,68,68,68,74,78,46,57,59,73,68,9,11,12,7,15,21,12000000,summer,Laliga,2017,midfielder
186,85,Italy,72,77,Right,2018,35,74,76,59,66,64,64,36,35,74,55,69,55,69,55,74,83,69,85,68,40,19,73,34,72,69,13,13,12,14,11,10,13,7,25,12000000,summer,Serie A,2017,attacker
172,65,Algeria,72,82,Left,2022,65,68,51,71,64,78,68,62,65,74,80,76,81,64,81,68,58,70,58,65,64,47,68,67,60,65,44,54,47,8,6,8,7,12,20,12000000,summer,Serie A,2017,attacker
178,65,Brazil,73,85,Right,2018,67,57,59,73,62,68,66,63,74,73,72,75,79,80,76,76,66,78,67,75,74,69,52,74,44,70,74,76,68,12,6,13,10,7,19,12000000,summer,Premier League,2017,midfielder
175,72,Brazil,73,82,Right,2021,67,72,67,72,58,75,45,38,65,72,79,79,81,76,67,61,65,55,59,62,42,32,77,66,66,69,34,30,27,14,8,6,10,13,22,12000000,summer,Premier Liga,2017,attacker
192,88,Italy,82,82,Left,2022,25,37,77,70,39,57,62,56,75,67,65,60,33,83,35,75,68,69,84,60,73,84,20,59,72,83,86,86,85,11,9,9,13,11,30,12000000,summer,Serie A,2018,defender
182,78,Colombia,79,83,Right,2019,56,37,77,61,44,58,38,26,62,64,73,76,78,73,69,68,86,71,76,13,88,78,45,54,46,73,80,81,84,14,13,8,11,14,26,12000000,summer,Laliga,2018,defender
176,67,Germany,78,85,Right,2020,78,63,65,79,59,85,69,52,68,83,85,84,85,78,78,58,67,79,66,61,69,75,74,79,58,77,68,74,74,13,15,10,13,9,24,12000000,summer,1 Bundesliga,2018,defender
187,80,Belgium,78,78,Right,2020,75,76,67,77,73,83,77,78,68,80,74,78,65,75,54,81,71,77,83,76,59,43,77,76,76,79,37,48,44,12,11,12,10,13,29,12000000,summer,Ligue 1,2018,attacker
186,79,Iran,77,85,Right,2021,64,78,84,69,69,74,66,50,64,75,83,82,77,74,77,75,90,58,72,76,67,34,75,60,55,73,39,33,32,6,10,14,9,15,24,12000000,winter,Premier Liga,2018,attacker
178,75,France,75,76,Right,2022,77,66,63,73,56,79,58,47,66,75,80,88,77,68,70,66,72,74,77,56,74,71,65,54,55,67,68,74,75,12,13,12,9,11,27,12000000,summer,Serie A,2018,defender
180,70,Uruguay,70,85,Left,2021,66,69,75,73,48,68,45,69,71,66,71,72,74,72,71,71,69,75,67,68,62,66,73,71,73,73,71,69,64,8,8,11,10,9,20,12000000,summer,1 Bundesliga,2018,defender
185,76,Serbia,73,78,Right,2023,74,62,49,73,74,74,58,54,66,72,86,75,81,73,64,76,45,66,57,72,43,22,67,73,57,76,12,26,23,7,9,14,13,6,22,12000000,summer,Ligue 1,2018,attacker
182,80,Brazil,74,81,Right,2020,43,40,71,72,33,64,57,46,69,72,60,68,60,65,59,61,62,63,77,36,76,77,36,46,58,66,13,73,75,8,15,16,13,12,22,12000000,summer,Serie A,2018,defender
186,84,Italy,82,83,Left,2019,52,82,81,71,84,77,71,56,45,80,79,79,76,78,69,87,90,76,88,72,90,40,83,66,80,72,54,42,50,7,13,9,7,9,28,12000000,summer,Serie A,2019,attacker
176,79,Zimbabwe,78,83,Left,2022,46,36,55,73,41,71,45,37,73,73,78,75,78,76,78,80,78,90,80,54,86,78,55,68,38,71,80,80,78,9,15,10,15,8,25,12000000,summer,Premier League,2019,midfielder
186,85,Poland,78,79,Right,2021,59,42,75,79,40,63,52,62,80,77,61,68,59,74,52,81,74,75,83,69,80,76,52,68,78,80,72,77,71,15,14,8,6,7,29,12000000,summer,Premier Liga,2019,midfielder
189,88,Colombia,78,79,Right,2020,44,81,78,64,76,72,48,62,38,76,68,75,64,74,58,86,79,66,91,64,60,20,78,46,68,76,52,24,22,9,9,8,6,8,28,12000000,winter,Serie A,2019,attacker
171,71,France,78,78,Right,2022,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,74,72,72,31,34,32,12,16,12,13,7,29,12000000,summer,Premier Liga,2019,midfielder
164,64,Japan,77,84,Right,2020,67,73,40,75,72,79,80,64,68,77,91,91,93,75,91,74,70,88,34,71,55,43,75,75,62,81,28,41,36,7,10,10,8,6,24,12000000,summer,Liga Portugal,2019,midfielder
190,89,Germany,76,81,Right,2022,33,26,74,71,26,44,31,28,69,63,62,54,54,66,56,60,71,64,84,27,73,74,32,55,34,59,73,79,78,13,15,14,16,11,23,12000000,summer,Eredivisie,2019,defender
181,77,Israel,76,79,Right,2021,50,79,75,74,62,75,74,35,63,73,74,80,80,68,71,75,89,81,78,65,33,19,77,68,67,59,22,37,27,13,12,10,15,11,27,12000000,winter,1 Bundesliga,2019,attacker
188,85,Italy,75,82,Left,2019,58,74,77,74,60,74,54,40,56,78,52,67,56,69,62,76,69,74,90,56,60,18,77,70,65,71,57,20,15,3,3,3,5,3,24,12000000,summer,Serie A,2019,attacker
174,73,Austria,72,83,Left,2021,59,55,44,71,55,73,67,50,70,74,81,74,77,74,74,73,54,79,69,69,74,67,72,65,56,66,60,71,70,6,8,8,12,7,21,12000000,summer,1 Bundesliga,2019,midfielder
175,68,Austria,70,82,Left,2020,58,65,56,67,60,75,71,62,63,72,76,71,73,60,74,68,73,67,52,63,54,38,69,67,64,63,23,41,35,13,10,13,6,8,20,12000000,summer,1 Bundesliga,2019,attacker
173,70,Portugal,79,83,Right,2022,72,71,53,75,60,87,77,70,64,83,94,91,93,75,90,81,73,77,54,73,64,38,74,70,71,72,26,27,28,11,13,8,12,8,24,12000000,summer,Eredivisie,2019,attacker
175,69,Spain,73,81,Left,2023,80,55,43,72,62,75,82,74,72,75,86,84,74,67,82,80,65,84,68,66,77,66,71,74,55,64,63,71,70,13,6,13,13,13,22,12000000,summer,Premier League,2019,defender
176,70,Spain,61,76,Right,2023,70,54,58,68,39,62,41,45,54,75,59,63,61,59,72,59,51,55,50,49,51,55,59,49,46,41,52,56,55,15,7,14,5,7,19,12000000,summer,Premier League,2019,defender
186,80,Czech Republic,74,84,Right,2023,55,66,70,73,65,74,65,51,69,73,76,75,76,71,77,73,77,85,75,72,78,73,67,70,59,68,70,73,69,11,13,10,11,12,21,12000000,summer,Premier Liga,2019,midfielder
183,72,Zimbabwe,70,78,Right,2022,51,72,58,68,61,70,47,32,57,69,83,81,79,62,74,66,75,71,70,64,55,30,69,72,70,63,73,39,35,12,9,14,8,15,24,12000000,winter,Ligue 1,2019,attacker
176,69,Portugal,72,78,Right,2024,69,40,58,67,47,74,71,42,53,71,79,84,77,71,72,52,74,71,62,51,68,66,64,58,46,70,70,67,71,10,15,6,6,7,20,12000000,summer,Laliga,2019,defender
183,77,Italy,66,79,Right,2025,64,61,50,75,47,69,56,54,70,69,65,67,59,61,58,66,54,53,67,45,54,53,72,67,68,65,45,57,55,8,8,9,15,14,20,12000000,winter,Serie A,2020,midfielder
179,68,France,69,80,Right,2023,50,47,59,69,36,63,52,39,68,65,76,66,73,64,78,55,61,73,59,54,78,70,57,67,64,58,43,68,67,8,9,8,14,6,21,12000000,summer,Premier League,2020,midfielder
184,73,France,76,84,Right,2022,69,78,60,77,66,75,74,55,69,77,82,82,74,75,66,77,66,68,66,74,55,27,79,76,62,78,34,31,34,12,5,13,5,8,23,12000000,summer,Ligue 1,2020,attacker
183,78,Morocco,75,80,Right,2022,67,70,48,71,73,82,82,68,68,80,84,83,80,68,72,78,34,73,66,70,68,23,67,68,45,71,69,22,23,15,16,8,10,16,24,12000000,summer,Laliga,2020,attacker
191,85,Ghana,68,83,Left,2022,40,30,63,62,22,47,50,32,53,58,65,69,55,65,49,60,75,66,83,28,70,65,25,24,40,53,22,67,64,7,7,11,10,6,21,12000000,summer,Premier League,2020,defender
175,73,Spain,77,82,Right,2022,77,67,49,77,60,79,72,54,58,79,86,74,78,74,80,71,63,76,59,66,70,65,75,73,66,68,30,64,66,14,16,8,6,13,25,12000000,summer,Laliga,2020,attacker
188,84,Croatia,80,80,Right,2021,59,33,80,68,42,63,26,18,66,67,54,54,50,75,41,63,81,64,82,34,86,81,21,56,52,69,75,82,84,14,14,13,10,7,31,12000000,summer,Premier Liga,2020,defender
173,68,France,73,79,Left,2023,70,53,62,68,58,71,69,68,67,70,71,71,73,68,81,84,50,87,59,75,85,72,66,64,60,65,40,72,68,6,7,10,11,13,23,12000000,summer,Premier League,2021,defender
179,75,Croatia,71,79,Left,2023,82,60,42,72,67,82,84,78,74,78,77,63,86,62,69,77,50,66,53,68,57,38,53,74,78,65,31,41,26,9,12,12,5,6,23,12000000,summer,Ligue 1,2021,midfielder
180,71,Denmark,67,85,Right,2023,54,60,43,62,52,72,52,39,48,70,85,87,78,60,74,60,72,69,59,49,58,21,64,62,51,61,23,23,17,9,7,9,13,11,19,12000000,summer,Eredivisie,2021,attacker
176,66,Brazil,80,85,Left,2023,67,75,45,78,72,86,70,52,69,85,86,86,90,78,86,74,56,73,64,67,58,35,77,81,69,80,59,32,32,14,10,5,13,6,24,12000000,winter,Premier Liga Ukr,2021,attacker
182,80,Brazil,72,77,Right,2023,43,40,71,71,33,64,57,46,68,71,63,65,59,65,59,61,61,62,75,36,75,73,36,51,58,66,43,72,74,8,15,16,13,12,25,12000000,summer,Premier Liga Ukr,2021,defender
181,74,Germany,76,83,Left,2025,63,78,59,75,72,75,73,63,58,74,77,71,78,74,77,81,66,70,64,82,44,28,80,75,83,71,78,19,18,14,10,7,9,16,25,12000000,summer,1 Bundesliga,2021,attacker
190,82,Denmark,72,82,Right,2025,56,69,71,69,64,73,62,51,55,75,68,71,60,70,64,72,71,68,82,66,62,32,73,70,64,69,10,27,21,7,10,10,11,9,22,12000000,winter,1 Bundesliga,2021,attacker
180,75,Senegal,78,83,Right,2026,47,81,74,69,69,78,56,49,45,78,79,87,66,74,65,79,76,75,83,69,62,22,80,62,77,61,28,17,14,11,10,15,14,10,24,12000000,summer,Laliga,2021,attacker
188,87,United States,73,82,Right,2022,49,23,76,70,26,47,35,24,63,60,78,79,67,66,60,36,90,71,75,22,66,72,38,51,37,61,68,77,74,13,5,13,6,10,22,12000000,summer,Premier League,2022,defender
189,77,Spain,79,82,Left,2026,24,19,15,63,17,18,23,21,55,43,45,52,40,63,57,58,71,42,52,18,39,16,20,68,25,62,19,20,11,80,79,77,81,82,27,12000000,summer,Ligue 1,2022,goalkeeper
189,82,Austria,74,80,Left,2025,63,41,77,71,34,62,65,69,68,67,68,76,65,67,55,67,81,76,83,62,78,70,52,60,58,67,70,75,77,13,13,14,14,8,24,12000000,winter,Premier League,2022,defender
183,73,France,64,78,Right,2025,52,41,56,74,44,71,45,46,62,70,72,66,74,58,72,65,66,60,58,44,67,55,56,63,49,65,50,63,58,13,9,7,5,9,20,12000000,winter,Premier League,2022,midfielder
184,83,France,72,78,Left,2025,59,34,74,67,31,68,49,31,64,66,69,77,61,65,65,47,70,75,79,36,75,69,55,62,37,66,68,74,70,8,12,13,9,10,23,12000000,summer,1 Bundesliga,2022,defender
184,77,Spain,76,79,Left,2025,65,59,42,81,44,72,66,52,85,76,50,50,67,70,65,66,57,70,65,68,69,74,60,80,68,74,73,72,71,12,11,11,10,8,25,12000000,summer,Premier League,2022,midfielder
178,73,England,80,80,Right,2024,66,82,78,75,76,78,72,70,61,79,78,76,76,82,77,82,79,73,69,82,67,46,83,72,81,82,38,45,34,10,13,12,16,6,30,12000000,winter,Premier League,2022,attacker
187,84,France,80,84,Right,2023,72,40,73,72,39,72,69,33,70,74,77,82,67,73,65,67,90,79,79,52,83,81,60,64,45,72,80,83,81,10,7,14,11,15,24,12000000,summer,Ligue 1,2022,defender
186,76,Germany,76,79,Right,2023,64,37,73,73,32,64,54,38,66,66,74,78,68,73,64,65,87,74,80,40,78,76,53,59,41,69,75,78,79,9,9,14,10,12,25,12000000,summer,Premier League,2022,defender
174,76,Austria,80,84,Left,2023,59,66,44,79,60,76,70,60,77,77,74,64,78,81,77,78,63,85,80,76,85,83,75,78,56,74,75,74,69,6,8,8,12,7,24,12000000,summer,1 Bundesliga,2022,midfielder
186,81,Italy,79,83,Left,2021,70,82,71,72,72,80,78,82,64,82,74,74,73,75,56,84,76,69,75,81,57,18,78,72,72,71,18,24,20,12,11,11,5,5,27,11900000,winter,Serie A,2018,attacker
177,70,England,72,80,Left,2023,67,64,50,72,57,74,61,58,67,73,79,80,78,70,79,67,50,77,60,67,39,57,67,72,63,63,46,65,53,9,14,6,12,8,23,11900000,summer,Premier League,2022,midfielder
196,85,Netherlands,79,80,Right,2017,38,86,89,63,81,49,35,32,37,68,54,65,37,84,35,84,55,64,84,73,67,39,87,51,76,66,29,40,22,6,12,15,11,8,27,11850000,summer,Liga Portugal,2016,attacker
182,76,Tunisia,75,80,Right,2018,77,73,46,77,56,79,77,82,61,77,76,76,78,73,67,72,48,66,68,71,68,39,74,75,71,66,25,29,29,5,6,10,10,5,24,11800000,winter,Premier League,2015,attacker
190,84,Portugal,84,84,Left,2022,12,12,11,34,16,20,10,16,32,25,53,57,61,79,54,58,79,45,77,11,37,23,13,64,32,66,84,13,11,84,80,77,82,83,33,11800000,summer,Serie A,2021,goalkeeper
173,69,France,77,82,Right,2023,61,79,73,74,76,68,63,55,59,78,78,76,76,79,81,79,59,78,67,71,80,26,82,69,78,70,30,55,33,11,12,7,8,14,26,11800000,summer,Premier League,2022,attacker
186,82,Belgium,65,82,Right,2019,42,27,67,50,29,38,54,64,43,50,63,65,66,57,56,53,66,51,65,25,66,63,34,39,62,57,62,71,71,11,9,9,9,6,19,11740000,summer,Jupiler Pro League,2019,defender
191,74,England,73,74,Right,2020,42,29,77,59,28,44,33,31,59,58,62,59,46,73,50,40,71,75,75,29,67,71,45,50,43,63,77,77,78,11,8,6,9,14,27,11700000,summer,Premier League,2016,defender
179,70,Netherlands,80,81,Right,2022,64,77,75,81,81,73,61,44,76,82,67,64,68,80,66,81,67,87,69,78,78,71,80,79,75,82,26,74,65,12,6,13,16,10,27,11700000,summer,Eredivisie,2020,midfielder
172,69,France,76,76,Left,2020,75,70,59,73,62,83,75,71,64,82,75,72,88,72,83,73,72,72,54,70,80,52,74,74,68,73,69,40,34,14,14,8,11,8,28,11700000,summer,Premier League,2020,attacker
174,60,England,75,81,Left,2015,55,62,42,79,58,82,73,47,75,76,79,79,89,71,86,79,72,89,55,74,87,75,62,67,64,69,52,74,70,9,8,13,10,5,25,11500000,summer,Premier League,2015,midfielder
173,73,Brazil,74,77,Right,2017,67,49,57,74,55,69,63,47,71,73,79,73,76,75,80,69,68,83,68,60,83,79,59,69,51,68,69,77,75,12,12,4,4,7,24,11500000,summer,Serie A,2015,midfielder
180,76,England,74,77,Right,2017,65,64,69,78,59,72,69,58,75,75,68,68,65,74,73,72,72,85,77,69,83,76,61,73,57,68,70,72,66,9,15,8,10,9,27,11500000,winter,Premier League,2016,midfielder
189,87,Netherlands,77,81,Right,2017,40,38,80,75,34,59,43,66,76,61,54,69,52,68,47,87,80,70,88,65,81,68,49,61,39,63,75,85,76,11,16,16,12,13,24,11500000,summer,1 Bundesliga,2016,defender
185,81,Belgium,64,79,Right,2020,51,60,54,52,54,73,38,42,36,64,83,76,73,68,59,63,63,51,73,53,40,16,61,46,60,66,16,21,18,12,15,12,5,10,19,11500000,summer,1 Bundesliga,2017,attacker
187,80,France,76,81,Right,2022,67,38,75,77,37,72,43,48,78,76,66,69,67,72,52,73,72,83,85,72,76,73,66,68,51,71,70,77,71,13,7,7,13,11,24,11500000,summer,Serie A,2018,midfielder
179,73,Brazil,72,81,Right,2023,73,49,56,68,36,73,71,46,62,71,78,77,77,71,66,39,66,80,60,35,64,67,66,56,49,56,71,69,67,10,13,9,12,13,18,11500000,winter,Premier League,2019,attacker
185,74,Cameroon,79,81,Right,2023,74,81,74,69,72,78,66,63,58,79,79,79,75,76,71,80,68,69,76,72,48,28,81,65,69,77,14,14,18,10,12,12,8,14,27,11500000,summer,Ligue 1,2020,attacker
176,72,Nigeria,69,79,Right,2023,61,63,41,58,48,74,61,36,47,69,93,83,92,59,88,65,51,75,59,59,40,31,64,60,49,63,37,37,31,14,7,6,7,11,22,11500000,summer,Premier Liga,2020,attacker
183,80,France,67,78,Right,2025,40,67,74,57,56,65,48,41,45,66,70,73,66,64,57,64,79,64,71,60,49,22,68,47,62,65,18,23,19,12,6,12,12,10,19,11500000,summer,Premier League,2022,attacker
183,79,Burundi,71,80,Right,2025,56,44,70,72,49,70,57,59,66,70,70,77,64,65,62,60,76,75,78,41,66,71,55,59,57,69,64,73,71,12,9,12,12,6,24,11500000,winter,Ligue 1,2022,midfielder
199,76,England,81,81,Right,2023,11,14,11,31,14,15,13,12,35,24,50,47,36,76,42,55,72,37,75,15,36,21,13,45,22,63,14,15,14,80,82,73,81,83,30,11500000,summer,Premier League,2022,goalkeeper
183,78,DR Congo,74,79,Right,2020,49,77,66,67,70,71,68,57,52,73,82,79,70,68,69,68,77,71,76,67,60,25,78,65,72,70,21,22,17,7,6,9,10,7,25,11400000,summer,Premier League,2018,attacker
173,67,England,67,79,Right,2021,63,64,42,61,55,71,56,44,43,70,83,82,78,55,76,74,51,62,60,66,41,29,65,57,58,55,25,25,24,10,12,10,15,15,23,11400000,summer,Premier League,2018,attacker
173,66,Turkey,79,82,Left,2022,81,77,63,74,70,80,83,68,65,82,84,77,84,78,82,78,47,73,50,80,37,29,75,76,73,68,43,33,30,9,13,7,9,8,24,11400000,summer,Ligue 1,2022,attacker
181,79,Wales,71,73,Right,2016,53,32,69,67,26,57,46,43,60,62,69,77,72,66,71,35,83,65,74,30,71,67,43,48,51,63,70,73,73,10,11,11,13,12,26,11300000,summer,Premier League,2015,defender
191,80,England,60,66,Right,2015,50,28,56,44,29,60,44,36,40,62,74,76,66,63,60,27,49,71,64,26,45,59,44,49,31,63,59,63,60,6,9,12,6,14,22,11300000,summer,Premier League,2015,defender
173,67,England,66,77,Right,2017,63,63,31,59,40,68,69,66,51,64,85,83,81,58,74,61,51,67,58,63,31,16,61,57,53,60,27,32,34,13,16,13,10,6,22,11300000,summer,Premier League,2017,attacker
183,62,Wales,64,81,Left,2019,48,52,33,69,50,68,53,48,64,65,66,63,75,53,94,49,65,60,59,50,51,34,49,67,49,58,22,38,28,8,14,9,13,7,20,11300000,summer,Premier League,2018,attacker
183,77,Switzerland,72,79,Right,2022,57,74,71,56,70,69,56,33,52,70,76,81,68,65,63,66,89,70,82,58,60,16,72,61,56,77,38,19,17,13,9,6,12,16,22,11300000,summer,Premier League,2019,attacker
180,68,Argentina,63,75,Left,2019,62,61,44,55,48,71,56,42,50,60,74,77,68,59,69,62,65,61,53,47,38,35,61,58,58,63,32,32,35,10,6,9,5,8,20,11260000,summer,1 Bundesliga,2018,attacker
172,69,Argentina,81,81,Left,2023,87,66,63,78,68,87,87,78,76,85,78,75,83,80,86,83,69,90,81,84,88,76,77,82,74,87,40,80,75,8,14,13,13,14,28,11250000,summer,Laliga,2020,defender
185,85,Switzerland,59,79,Left,2020,57,58,60,52,51,61,58,43,43,59,72,75,70,49,60,65,65,58,79,44,53,20,59,46,54,54,40,25,20,14,14,11,6,5,19,11200000,winter,Bundesliga,2019,attacker
