height_cm,weight_kg,nationality,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,position_group,age,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
177,66,Ukraine,66,72,Left,1,3,2,2024,defender,23,1000000,winter,Supersport Hnl,2021,62,26,64,60,22,47,45,37,57,61,67,69,74,67,72,43,68,70,54,32,74,68,38,36,33,56,60,70,69,6,8,8,10,15
191,80,Guinea,66,70,Right,1,3,3,2024,attacker,26,2000000,summer,Jupiler Pro League,2021,49,64,67,63,51,64,42,39,47,66,62,70,58,60,63,75,64,73,82,60,59,35,66,57,69,59,49,26,24,11,9,14,8,14
183,78,Switzerland,65,78,Right,1,3,2,2024,attacker,20,8500000,summer,Super League,2021,63,63,52,61,56,66,58,57,49,62,76,78,71,61,72,70,48,55,59,59,56,23,64,62,60,60,13,26,31,10,14,10,15,12
174,68,Tunisia,65,74,Right,1,3,3,2024,midfielder,22,1000000,summer,Jupiler Pro League,2021,61,60,38,63,55,72,72,72,60,71,68,64,63,64,82,74,49,48,62,74,68,28,59,61,59,63,64,33,19,13,12,5,9,11
173,65,Turkey,64,81,Left,1,3,2,2024,attacker,21,7000000,summer,Super Lig,2021,54,64,53,62,53,67,66,45,40,64,80,79,75,63,76,61,58,50,40,61,30,16,62,58,67,56,56,22,19,6,9,8,7,7
173,65,Turkey,64,81,Left,1,3,2,2024,attacker,20,7000000,summer,Super Lig,2021,54,64,53,62,53,67,66,45,40,64,80,79,75,63,76,61,58,50,40,61,30,16,62,58,67,56,56,22,19,6,9,8,7,7
185,74,Norway,64,80,Right,1,2,4,2024,attacker,20,2500000,winter,Serie A,2021,61,49,34,57,51,70,58,40,43,68,85,82,76,55,73,48,45,58,44,47,34,27,60,66,38,49,19,35,33,6,7,10,9,13
180,69,France,64,73,Left,1,3,2,2024,midfielder,23,15000000,winter,Ligue 1,2021,59,49,55,70,34,64,51,52,65,65,62,60,68,62,67,63,65,64,56,56,53,62,52,67,53,59,14,60,56,14,13,13,14,15
184,75,Portugal,64,73,Left,1,2,2,2024,defender,24,2500000,winter,Ligue 1,2021,63,38,47,56,40,60,52,33,53,61,69,73,62,59,49,40,60,68,64,40,57,60,52,47,44,49,68,60,61,9,12,9,13,8
188,78,Turkey,64,71,Right,1,2,1,2024,goalkeeper,24,1100000,summer,Super Lig,2021,11,9,13,26,8,10,12,12,21,13,34,36,42,56,32,43,58,18,58,6,19,12,7,32,19,39,13,13,10,67,62,57,61,66
173,58,Netherlands,63,80,Right,1,3,3,2024,midfielder,20,1300000,winter,Eredivisie,2021,56,50,45,66,53,66,56,50,61,66,78,76,85,58,74,58,57,53,34,42,67,57,52,65,52,63,20,57,59,13,6,13,9,8
173,58,Netherlands,63,80,Right,1,3,3,2024,midfielder,19,1300000,summer,Eredivisie,2021,56,50,45,66,53,66,56,50,61,66,78,76,85,58,74,58,57,53,34,42,67,57,52,65,52,63,20,57,59,13,6,13,9,8
188,81,France,63,77,Right,1,3,2,2024,attacker,22,1500000,winter,Superliga,2021,40,68,64,57,61,58,47,41,39,60,67,67,52,60,55,66,65,67,71,60,50,21,61,56,60,64,44,27,21,13,14,6,13,12
175,65,France,63,69,Right,1,3,3,2024,midfielder,23,1500000,summer,Jupiler Pro League,2021,57,50,40,72,53,63,60,74,71,72,66,68,66,58,74,63,50,65,55,53,45,29,55,65,57,67,58,34,31,7,9,14,10,10
184,73,England,61,81,Right,1,3,2,2024,defender,20,3500000,summer,Premier League,2021,62,29,54,53,30,56,34,31,47,59,79,78,68,55,75,42,60,64,59,33,56,52,57,45,42,45,55,60,57,13,8,8,13,10
183,82,Italy,61,79,Left,1,3,2,2024,attacker,19,5000000,summer,Serie A,2021,36,64,59,50,56,56,49,44,38,58,61,63,55,52,67,70,64,45,69,57,41,18,64,47,63,54,26,20,16,9,6,7,6,9
185,74,Italy,61,75,Left,1,3,2,2024,defender,22,4000000,summer,Serie A,2021,49,31,64,38,35,68,38,41,36,47,55,61,59,57,73,33,60,49,48,34,64,65,50,39,44,50,30,71,69,14,8,7,8,9
187,79,Italy,61,74,Right,1,4,2,2024,midfielder,20,1200000,summer,Serie A,2021,50,48,57,67,42,63,52,49,64,66,53,54,49,54,47,61,55,58,64,50,55,52,57,62,45,51,54,53,49,14,14,10,8,6
176,76,Netherlands,60,80,Right,1,4,3,2024,attacker,20,1000000,summer,Eredivisie,2021,43,64,57,50,48,57,52,40,40,59,77,74,71,55,74,63,62,58,60,53,40,21,58,57,60,58,18,15,17,12,13,9,13,15
182,70,Iran,60,74,Right,1,2,2,2024,attacker,20,3000000,winter,Super Lig,2021,34,62,69,45,55,70,34,30,32,67,64,60,50,52,71,52,65,56,61,50,58,25,54,48,64,62,16,20,29,12,12,15,9,11
180,61,Ghana,56,66,Right,1,2,2,2024,midfielder,21,18000000,summer,Ligue 1,2021,38,42,57,64,38,57,36,34,54,58,54,64,50,48,69,49,66,58,56,45,61,51,40,38,44,44,36,62,58,11,14,8,11,7
187,76,Colombia,49,62,Right,1,4,2,2024,defender,20,5200000,summer,Premier League,2021,25,17,48,25,26,28,25,29,28,28,63,60,46,49,55,35,73,59,59,15,46,46,28,33,37,36,43,56,51,8,7,8,10,8
168,70,Belgium,69,83,Right,1,3,4,2024,midfielder,20,2000000,winter,Jupiler Pro League,2022,63,57,32,73,58,76,65,63,68,76,78,69,83,65,92,66,74,83,53,56,62,44,57,68,36,66,46,48,38,6,14,9,13,8
186,79,Greece,74,74,Left,1,3,3,2024,midfielder,29,2000000,winter,Super Lig,2022,65,68,67,77,69,71,72,69,77,74,55,59,65,67,64,80,64,80,78,76,71,72,71,72,61,75,71,72,66,9,11,16,11,15
180,70,Italy,79,79,Right,3,4,4,2024,midfielder,35,1000000,summer,Serie A,2022,79,73,55,81,79,80,77,73,80,82,75,69,79,75,80,87,36,81,54,82,66,67,79,80,69,73,61,63,53,10,4,14,4,14
175,64,France,72,78,Right,2,3,4,2024,midfielder,24,4500000,summer,Ligue 1,2022,61,68,60,74,61,74,79,69,69,76,86,85,89,66,81,74,71,66,67,75,65,67,68,75,65,67,69,69,60,11,13,15,14,15
184,75,Italy,65,73,Left,1,2,2,2024,midfielder,23,9000000,summer,Serie A,2022,54,55,60,70,51,70,59,54,70,70,69,69,65,63,69,68,57,60,57,50,43,48,55,65,60,68,52,59,61,10,9,6,12,11
184,78,Italy,80,81,Right,1,3,1,2024,goalkeeper,28,3000000,summer,Serie A,2022,15,12,12,31,13,13,11,12,25,21,41,37,37,75,43,55,74,43,55,17,33,19,15,42,31,59,20,11,12,82,79,73,77,83
181,83,Algeria,80,80,Right,2,3,3,2024,attacker,31,7000000,winter,Ligue 1,2022,71,81,82,74,81,76,69,69,64,74,81,86,73,75,74,89,79,80,85,77,80,27,81,75,72,78,32,37,25,10,14,10,8,11
187,79,Senegal,78,81,Left,2,3,3,2024,defender,26,1500000,summer,Ger Bundesliga,2022,68,38,78,78,39,75,58,32,76,77,72,76,73,76,71,51,84,74,77,24,77,77,61,69,41,81,76,78,81,12,7,7,7,8
183,75,Guinea,74,76,Right,2,3,3,2024,midfielder,25,1890000,summer,Jupiler Pro League,2022,62,48,59,76,46,75,60,37,72,76,63,61,75,73,69,66,54,72,68,56,74,72,54,75,52,78,73,74,72,11,14,5,11,11
180,72,France,79,86,Right,2,3,4,2024,attacker,22,28000000,summer,Ligue 1,2022,76,82,68,79,78,81,78,76,69,79,82,77,77,77,73,80,70,74,72,82,61,44,82,76,78,78,45,41,32,6,12,8,9,7
183,81,Italy,75,75,Right,2,4,2,2024,defender,30,3000000,summer,Serie A,2022,35,19,71,62,32,63,26,26,60,66,66,72,64,76,66,56,76,75,76,44,75,77,16,33,34,68,77,77,75,12,6,10,11,12
177,79,France,73,79,Right,1,3,4,2024,attacker,23,10100000,summer,Serie A,2022,72,68,45,70,75,79,81,83,62,75,78,79,74,64,88,81,58,62,33,78,47,27,70,71,56,69,28,40,43,13,13,8,14,15
179,70,Congo DR,75,75,Left,1,2,4,2024,defender,28,6000000,summer,Super Lig,2022,74,52,63,73,61,80,72,48,67,77,77,79,77,74,79,74,70,76,67,68,65,69,65,70,49,75,65,74,73,8,7,10,7,7
182,74,Russia,78,80,Left,1,2,3,2024,midfielder,26,9000000,summer,Serie A,2022,72,71,57,78,67,80,74,75,75,80,74,76,80,76,78,65,58,73,64,73,43,36,78,79,67,76,22,28,29,8,8,9,12,15
195,79,France,66,77,Left,1,3,2,2024,midfielder,20,2000000,summer,Ligue 1,2022,48,52,52,67,36,64,58,41,65,68,58,59,65,64,58,51,63,70,68,54,70,63,56,64,43,70,62,63,53,12,11,12,5,10
187,81,France,81,88,Right,2,3,3,2024,midfielder,22,80000000,summer,Laliga,2022,68,67,73,84,50,78,76,53,83,80,70,73,75,81,71,78,74,86,82,72,82,84,75,82,55,82,80,83,78,9,8,12,12,7
177,72,France,77,77,Right,2,4,3,2024,midfielder,29,3900000,winter,Ligue 1,2022,75,70,61,78,64,78,73,70,77,78,72,73,74,77,83,75,72,78,67,74,69,68,79,78,68,77,63,68,57,14,9,15,9,13
176,71,England,73,75,Right,1,3,3,2024,midfielder,28,2200000,summer,Premier League,2022,52,46,53,72,38,68,45,40,74,72,71,67,67,66,78,63,83,83,75,43,91,69,57,65,42,67,70,70,72,8,15,9,16,11
183,67,Mali,64,75,Right,1,2,2,2024,midfielder,21,2000000,summer,Premier League,2022,47,42,56,70,41,67,52,47,69,69,55,59,68,66,68,62,62,59,71,48,63,62,53,59,52,56,59,68,60,12,10,15,11,11
182,73,Congo DR,77,77,Right,2,3,3,2024,attacker,31,3400000,summer,Super League 1,2022,70,81,75,73,77,72,68,57,64,74,85,83,77,73,70,79,81,62,71,72,63,39,81,66,72,70,32,29,21,6,13,6,14,6
192,79,Belgium,77,87,Left,1,4,4,2024,midfielder,21,36500000,summer,Serie A,2022,74,78,75,77,76,79,73,72,77,82,74,77,78,75,60,77,69,83,75,74,57,59,77,78,67,76,45,61,57,11,8,14,8,8
177,79,England,78,86,Right,2,3,4,2024,attacker,21,12000000,summer,Ger Bundesliga,2022,77,71,53,77,59,84,73,71,69,81,87,78,85,71,78,67,64,66,58,66,51,44,73,75,55,72,47,51,45,14,13,11,15,5
181,82,Côte d'Ivoire,65,83,Right,1,3,3,2024,attacker,20,12000000,winter,Premier League,2022,52,62,57,58,56,68,58,44,44,66,87,86,84,55,90,63,82,59,82,58,55,15,62,48,56,62,20,18,14,14,6,10,14,10
190,89,Germany,73,74,Left,2,3,2,2024,defender,28,1200000,summer,Ger Bundesliga,2022,47,23,73,66,26,58,55,32,65,62,52,64,43,71,48,49,63,66,86,56,77,72,45,61,41,68,72,75,75,14,15,7,9,15
185,66,Italy,64,78,Right,1,4,3,2024,midfielder,20,3000000,summer,Serie A,2022,53,54,48,68,53,62,64,60,62,67,68,69,70,62,68,61,54,47,53,55,46,34,61,63,58,58,30,44,40,12,12,14,13,14
183,70,England,77,83,Left,1,2,3,2024,attacker,22,17000000,summer,Premier League,2022,78,65,59,76,57,80,77,74,71,79,74,71,76,75,77,69,68,78,65,68,57,46,73,75,62,76,57,54,44,6,14,14,12,14
175,70,Mali,76,79,Right,2,3,3,2024,midfielder,26,3000000,summer,Super League 1,2022,57,42,60,74,37,68,55,34,70,72,70,62,79,75,80,60,75,82,68,54,80,86,55,65,56,79,75,75,73,5,11,11,14,8
185,80,Austria,67,74,Left,1,3,2,2024,defender,23,1800000,summer,Austria Bundesliga,2022,63,51,53,62,48,66,57,50,57,67,70,75,65,56,61,55,37,78,79,56,65,62,56,58,45,57,64,64,68,6,5,15,12,10
180,74,Turkey,69,76,Right,1,4,4,2024,attacker,23,3500000,winter,Super Lig,2022,63,59,47,65,50,74,69,49,59,70,78,78,77,66,77,64,57,72,46,63,43,30,66,64,59,67,37,49,53,13,14,7,6,15
185,77,Austria,67,77,Right,1,3,2,2024,defender,21,3500000,summer,Serie A,2022,50,38,66,64,34,48,30,31,59,62,68,72,69,64,63,55,80,80,74,39,70,63,44,48,34,58,60,70,68,9,14,13,14,7
172,64,North Macedonia,77,78,Right,2,4,4,2024,midfielder,27,3000000,summer,Super Lig,2022,75,77,51,77,79,80,88,89,74,79,79,69,84,75,85,85,48,75,45,81,62,62,72,78,80,82,57,59,57,12,13,8,12,6
174,68,Turkey,72,72,Left,1,1,3,2024,attacker,28,2500000,summer,Super Lig,2022,64,68,38,70,49,74,68,50,65,71,77,73,84,71,78,73,37,81,51,75,52,61,68,68,67,65,46,57,43,15,6,11,14,14
186,76,Ukraine,75,76,Left,1,2,2,2024,defender,27,2500000,winter,Ligue 1,2022,67,58,68,69,74,70,72,72,65,72,78,80,73,71,64,77,68,86,67,70,74,75,66,65,34,64,68,72,70,11,11,9,13,10
175,67,Italy,71,80,Right,1,4,4,2024,attacker,22,1400000,winter,Serie A,2022,65,61,51,74,59,77,69,61,73,76,77,69,78,61,75,61,53,65,42,63,39,30,63,69,55,66,43,37,35,9,12,15,14,6
179,71,Norway,76,78,Right,1,3,3,2024,midfielder,26,13000000,summer,Liga Portugal,2022,72,64,65,78,54,74,72,63,75,75,71,76,82,73,81,68,75,91,68,66,71,74,66,72,66,77,74,73,71,12,14,14,8,13
182,75,France,76,79,Right,1,2,2,2024,defender,26,4000000,summer,Ligue 1,2022,75,42,61,72,49,71,65,47,66,72,79,79,71,70,73,64,75,86,75,54,73,70,72,69,50,70,71,72,71,14,12,9,12,13
180,77,Russia,73,77,Right,1,3,3,2024,attacker,24,12000000,summer,Premier Liga,2022,64,72,67,74,73,72,61,56,61,76,76,75,75,77,72,72,62,74,67,66,36,44,76,75,71,81,23,26,23,7,6,11,6,11
195,85,Scotland,66,74,Right,1,2,2,2024,attacker,22,1800000,summer,Jupiler Pro League,2022,35,68,69,60,58,64,53,49,44,66,55,66,38,61,36,70,67,58,83,67,65,16,63,53,59,58,19,21,19,6,15,11,8,13
189,81,France,77,77,Right,2,3,2,2024,defender,31,4000000,summer,Laliga,2022,51,50,76,77,42,62,47,47,70,73,46,45,53,78,54,75,77,54,82,66,81,81,46,46,43,77,80,76,74,11,15,15,12,7
181,73,France,63,80,Right,1,4,2,2024,midfielder,19,1000000,winter,Ligue 1,2022,53,48,51,66,48,63,55,43,62,64,66,68,59,62,65,61,60,72,66,52,66,59,58,63,45,62,55,59,49,14,15,13,7,7
184,84,Switzerland,74,83,Right,1,4,2,2024,midfielder,23,2000000,summer,Super League,2022,66,70,55,75,64,73,65,68,72,77,75,72,72,69,73,80,70,81,85,75,74,69,72,73,62,72,69,70,70,8,10,15,8,13
188,80,Turkey,72,73,Right,1,2,1,2024,goalkeeper,27,1800000,summer,Super Lig,2022,15,15,13,29,12,15,12,18,26,11,48,48,49,63,59,50,58,35,69,14,20,25,13,34,21,54,12,15,19,71,68,66,74,76
187,85,Turkey,72,72,Right,1,2,1,2024,goalkeeper,31,1500000,winter,Super Lig,2022,17,20,16,44,18,23,19,17,42,26,53,58,59,66,47,52,72,37,68,10,25,23,18,44,21,30,14,14,14,70,70,69,70,75
186,78,Poland,80,80,Right,3,3,3,2024,midfielder,32,5000000,summer,Premier Liga,2022,63,72,75,78,75,70,54,62,81,79,60,69,55,80,53,82,74,78,83,78,80,77,72,69,78,80,75,76,72,15,14,8,6,7
172,69,Italy,76,85,Right,2,5,4,2024,attacker,22,5000000,summer,Serie A,2022,43,79,69,77,68,79,62,60,52,81,85,77,77,77,85,72,60,67,55,72,45,18,78,67,76,75,21,23,21,13,14,7,7,9
177,76,Italy,69,74,Right,1,3,3,2024,attacker,25,2000000,summer,Serie A,2022,69,70,65,70,65,72,64,71,68,71,75,75,74,65,69,72,71,65,66,70,54,25,67,65,75,59,34,34,34,15,7,7,13,7
178,68,Norway,70,79,Left,1,2,4,2024,midfielder,22,2200000,winter,Superliga,2022,63,64,39,66,57,72,68,54,60,71,85,79,89,68,75,61,58,81,54,65,54,43,70,66,50,67,58,63,46,11,13,7,14,12
184,77,Côte d'Ivoire,76,85,Right,1,3,3,2024,midfielder,22,22000000,winter,Premier League,2022,70,70,64,74,66,83,70,67,70,79,85,79,84,76,73,74,74,68,60,67,59,50,71,72,64,67,60,60,61,8,10,14,12,11
176,65,England,77,80,Right,1,3,3,2024,midfielder,26,12000000,summer,Serie A,2022,64,54,52,82,52,78,71,68,80,79,68,62,76,78,79,68,52,76,61,62,76,76,68,77,56,79,73,74,68,8,11,14,13,10
191,90,Sweden,63,72,Right,1,3,2,2024,defender,23,3200000,summer,Serie A,2022,28,30,67,48,33,46,29,25,40,44,72,77,49,53,47,39,75,57,88,29,55,59,33,38,45,51,60,65,62,12,5,10,11,13
187,73,Senegal,73,78,Right,1,3,3,2024,attacker,23,2000000,winter,Ligue 1,2022,56,75,75,58,55,74,58,51,44,70,85,78,73,67,54,79,73,65,70,70,36,13,74,54,71,67,13,14,16,10,7,8,6,15
187,77,Germany,79,79,Right,3,5,4,2024,attacker,28,2500000,summer,Liga Portugal,2022,79,74,64,81,77,83,77,76,77,84,76,73,80,78,74,80,77,68,67,78,56,66,78,81,65,82,48,64,44,11,13,5,13,8
181,75,Netherlands,73,74,Left,2,2,2,2024,midfielder,27,1200000,summer,Premier Liga,2022,58,54,69,74,54,67,52,51,77,70,66,64,69,68,74,71,75,74,73,57,77,74,66,64,53,69,68,71,72,14,8,12,8,11
181,75,France,83,89,Right,2,3,2,2024,defender,23,50000000,summer,Laliga,2022,45,47,79,80,32,69,42,26,75,74,81,82,71,85,74,48,88,76,80,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13
193,86,Norway,69,79,Right,1,3,3,2024,attacker,22,12400000,summer,Laliga,2022,45,71,71,61,63,67,52,43,46,66,59,63,54,67,51,70,71,72,83,63,64,26,71,63,58,70,29,27,23,7,14,14,8,9
184,86,Germany,71,82,Right,1,3,3,2024,attacker,21,4000000,summer,Ger Bundesliga,2022,64,73,56,67,63,77,55,43,49,74,85,79,77,69,76,71,63,71,75,65,55,23,67,59,55,60,31,31,23,6,11,10,14,9
189,80,Switzerland,78,80,Right,1,4,1,2024,goalkeeper,29,9000000,winter,Ger Bundesliga,2022,24,17,24,45,15,27,21,16,35,31,52,51,32,74,51,55,75,35,72,18,22,25,15,48,27,55,20,21,24,78,75,73,76,80
186,74,Netherlands,65,78,Left,1,3,2,2024,defender,21,5500000,summer,Eredivisie,2022,61,31,55,61,29,59,46,38,56,53,87,90,73,55,65,43,65,73,73,41,58,57,51,47,41,53,59,60,62,6,13,14,15,9
186,74,Netherlands,65,78,Left,1,3,2,2024,defender,21,6000000,winter,Super Lig,2022,61,31,55,61,29,59,46,38,56,53,87,90,73,55,65,43,65,73,73,41,58,57,51,47,41,53,59,60,62,6,13,14,15,9
184,75,France,74,81,Right,2,3,4,2024,midfielder,25,3500000,winter,Ligue 1,2022,65,70,58,78,63,83,66,53,72,79,75,74,77,73,66,79,65,66,69,67,56,62,75,77,55,78,41,61,49,10,15,11,16,8
168,65,England,71,79,Right,1,3,3,2024,midfielder,23,2000000,summer,Premier League,2022,66,49,46,74,31,71,48,38,71,70,81,80,83,71,85,46,60,82,60,44,70,66,63,63,33,72,68,66,59,14,14,11,9,11
185,75,England,74,75,Right,1,2,2,2024,defender,28,3000000,summer,Premier League,2022,47,36,75,70,34,67,55,58,67,70,52,54,63,71,57,55,67,68,78,42,72,75,47,56,42,64,76,78,72,13,10,11,13,10
185,75,England,74,75,Right,1,2,2,2024,defender,29,3000000,summer,Premier League,2022,47,36,75,70,34,67,55,58,67,70,52,54,63,71,57,55,67,68,78,42,72,75,47,56,42,64,76,78,72,13,10,11,13,10
177,67,France,80,80,Right,2,3,3,2024,midfielder,29,13000000,summer,Ligue 1,2022,69,70,59,83,72,79,69,71,78,82,81,75,77,77,81,83,74,81,79,77,82,77,74,74,80,80,79,80,77,9,10,11,8,9
190,77,Norway,66,78,Right,1,3,2,2024,midfielder,21,1400000,summer,Serie A,2022,60,52,58,69,49,66,56,55,65,69,65,64,60,65,58,53,62,69,57,60,65,68,60,62,41,63,60,65,61,9,12,7,10,8
184,84,Turkey,73,74,Right,1,3,3,2024,defender,28,3700000,winter,Super Lig,2022,65,35,70,72,40,63,79,70,68,71,61,64,66,73,67,80,82,68,77,71,76,75,50,65,45,75,74,73,70,16,10,8,14,10
188,75,Belgium,64,79,Right,1,3,2,2024,defender,20,4000000,summer,Serie A,2022,51,26,59,62,45,60,44,33,62,62,61,67,61,48,54,42,65,65,65,44,50,54,28,31,49,45,61,75,71,12,8,11,10,8
182,77,Germany,67,73,Right,1,4,2,2024,defender,21,2500000,summer,Ger Bundesliga,2022,62,35,56,67,30,64,41,37,59,65,74,78,65,64,70,44,58,69,69,38,63,63,50,57,37,57,62,65,61,7,13,10,13,10
189,83,Turkey,69,69,Right,1,3,3,2024,attacker,28,1400000,summer,Ger Bundesliga,2022,67,69,67,69,60,70,47,46,63,72,70,66,73,68,64,70,78,68,70,65,61,22,71,63,56,57,24,24,18,6,12,13,8,15
174,61,Poland,66,72,Right,1,2,3,2024,attacker,24,1500000,summer,Premier Liga,2022,62,55,50,66,32,68,59,33,55,65,91,90,83,57,74,44,59,64,43,45,58,31,53,56,42,49,36,43,49,14,11,10,12,11
174,61,Poland,66,72,Right,1,2,3,2024,attacker,24,1500000,summer,Super Lig,2022,62,55,50,66,32,68,59,33,55,65,91,90,83,57,74,44,59,64,43,45,58,31,53,56,42,49,36,43,49,14,11,10,12,11
178,71,Belgium,55,67,Right,1,2,3,2024,attacker,19,1000000,summer,Scottish Premiership,2022,43,57,45,49,56,56,53,46,46,54,71,76,67,39,70,63,39,45,49,49,36,26,55,54,58,53,20,31,30,7,6,9,6,9
178,72,England,81,85,Right,2,3,3,2024,midfielder,26,49000000,summer,Premier League,2022,70,62,66,82,55,73,62,71,82,80,69,67,72,76,72,75,82,85,78,68,86,78,66,75,58,79,80,82,78,8,8,8,12,14
189,84,Germany,72,76,Left,1,3,2,2024,defender,25,3000000,winter,Ger Bundesliga,2022,25,23,72,65,21,49,29,32,59,57,53,75,54,70,55,33,62,64,79,26,66,71,24,58,39,68,73,78,70,13,14,11,10,8
197,92,France,79,79,Left,2,3,3,2024,attacker,28,6000000,winter,Ger Bundesliga,2022,50,83,83,69,75,72,57,51,48,77,72,78,57,79,31,79,75,80,90,70,78,38,83,69,77,75,40,38,35,8,13,14,14,7
172,63,England,63,83,Left,1,3,3,2024,midfielder,20,1200000,summer,Premier League,2022,55,52,42,73,45,63,55,51,71,65,72,71,76,57,84,57,49,70,53,49,60,53,47,70,46,64,56,57,56,10,9,7,6,10
178,65,France,76,77,Right,3,4,3,2024,defender,27,2500000,summer,Super Lig,2022,78,51,60,75,68,72,75,56,73,74,70,74,67,75,66,72,73,74,72,55,68,76,69,71,46,76,75,76,75,13,8,8,9,16
181,75,Scotland,70,80,Right,1,4,3,2024,midfielder,22,2000000,summer,Serie A,2022,58,67,66,71,64,68,69,67,69,68,72,73,79,62,76,75,74,91,77,70,84,68,68,71,77,74,64,67,67,6,11,6,14,14
192,84,Germany,67,73,Right,1,3,1,2024,goalkeeper,23,1000000,summer,Ger Bundesliga,2022,8,5,14,29,6,15,10,8,27,26,38,43,40,62,29,46,56,31,60,5,20,8,6,45,11,38,10,14,11,70,61,61,63,72
182,85,Serbia,79,84,Right,1,5,3,2024,attacker,24,8000000,summer,Serie A,2022,67,80,79,72,83,78,77,56,61,80,74,76,76,80,77,82,76,75,78,75,62,23,81,70,66,78,25,26,16,8,7,12,9,13
182,74,France,75,75,Left,2,3,3,2024,defender,29,3000000,summer,Premier League,2022,75,66,72,75,61,76,69,53,67,80,77,69,72,69,70,69,83,68,69,62,73,73,74,75,54,74,70,74,72,14,10,7,9,15
185,80,Scotland,66,68,Right,1,3,2,2024,attacker,26,1300000,summer,Scottish Premiership,2022,48,68,67,63,68,64,59,47,54,65,73,67,69,65,72,67,69,80,70,63,70,19,65,64,67,67,26,23,20,13,15,14,10,11
178,69,France,74,78,Right,1,3,3,2024,midfielder,24,5000000,summer,Ligue 1,2022,53,55,68,75,54,69,63,47,74,74,66,61,70,72,70,67,61,74,71,50,73,74,59,69,55,72,73,75,70,6,11,7,9,7
180,79,Italy,68,82,Left,1,3,3,2024,attacker,20,5000000,summer,Serie A,2022,67,57,51,65,66,74,72,67,59,71,79,79,82,64,77,69,51,55,64,71,55,27,61,59,61,57,21,39,38,11,15,11,6,9
189,89,Netherlands,85,89,Right,3,3,2,2024,defender,22,67000000,summer,Ger Bundesliga,2022,52,50,85,75,45,65,48,55,67,73,71,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85,12,11,11,12,10
187,81,Italy,71,76,Right,1,3,1,2024,goalkeeper,24,4150000,summer,Serie A,2022,13,9,11,23,11,18,12,14,15,20,35,23,38,48,35,50,66,44,62,18,26,9,6,35,17,56,21,12,10,74,71,67,71,74
187,81,Italy,71,76,Right,1,3,1,2024,goalkeeper,24,8000000,summer,Serie A,2022,13,9,11,23,11,18,12,14,15,20,35,23,38,48,35,50,66,44,62,18,26,9,6,35,17,56,21,12,10,74,71,67,71,74
175,72,Turkey,67,70,Right,1,1,3,2024,attacker,25,1400000,summer,Super Lig,2022,66,59,46,64,47,70,61,41,62,67,87,86,82,50,73,67,47,57,51,46,31,17,61,53,53,48,25,28,26,7,11,12,13,5
175,72,Turkey,67,70,Right,1,1,3,2024,attacker,25,1400000,winter,Super Lig,2022,66,59,46,64,47,70,61,41,62,67,87,86,82,50,73,67,47,57,51,46,31,17,61,53,53,48,25,28,26,7,11,12,13,5
190,86,Switzerland,75,75,Right,1,4,3,2024,attacker,28,1500000,winter,Ger Bundesliga,2022,59,79,73,67,65,67,62,35,66,72,61,66,51,73,39,79,57,91,91,72,87,30,82,67,72,78,38,45,40,10,14,7,16,14
176,71,Germany,81,81,Right,4,4,4,2024,midfielder,30,3000000,summer,Ger Bundesliga,2022,81,75,47,85,84,83,81,72,81,88,69,66,77,80,83,75,58,75,70,68,59,65,80,86,78,87,64,42,53,14,7,12,6,10
179,74,France,74,84,Right,1,3,3,2024,defender,19,25000000,winter,Ligue 1,2022,75,44,57,70,52,69,68,36,62,71,86,88,74,70,76,60,69,83,66,46,74,66,65,62,45,72,65,69,70,10,6,14,8,11
179,74,France,74,84,Right,1,3,3,2024,defender,19,30000000,winter,Premier League,2022,75,44,57,70,52,69,68,36,62,71,86,88,74,70,76,60,69,83,66,46,74,66,65,62,45,72,65,69,70,10,6,14,8,11
179,71,Germany,68,78,Right,1,4,3,2024,midfielder,22,1800000,winter,Ger Bundesliga,2022,57,58,33,65,59,75,60,49,63,74,75,81,86,68,75,66,55,60,34,45,59,22,69,70,55,63,35,29,39,11,10,13,6,15
198,99,Croatia,60,69,Left,1,3,2,2024,defender,23,1500000,summer,Super League,2022,40,32,65,54,27,37,32,28,42,44,53,55,45,49,36,45,42,49,72,23,55,61,33,29,37,40,62,63,60,7,14,8,9,12
184,76,Netherlands,68,75,Right,1,3,2,2024,midfielder,22,1000000,summer,Eredivisie,2022,58,52,64,69,48,61,63,63,64,66,68,64,68,63,72,66,67,77,73,55,65,68,59,61,56,67,67,70,68,10,5,12,8,14
